id,name,classification,central_value,low_estimate,high_estimate,unit,reference_period,source,confidence,materiality,model_location,phase_1c_action,remaining_gap
baseline.population.total,Total resident population,Observed baseline data,"27,801,023","27,801,023","27,801,023",people,31 December 2025,SRC-ABS-POP-2025Q4,High,High,src/model/data/baseline/variables.ts,Updated from ABS ERP,None for stock value; future revisions expected
baseline.population.annualGrowth,Annual population growth,Observed baseline data,"412,500","412,500","412,500",people/year,Year ending 31 December 2025,SRC-ABS-POP-2025Q4,High,High,src/model/data/baseline/variables.ts,Added reconciliation variable,None for annual component at review date
baseline.migration.netOverseasMigration,Net overseas migration,Observed baseline data / current-path policy input,"301,000","301,000","306,000",people/year,Year ending 31 December 2025,SRC-ABS-POP-2025Q4,High,High,src/model/data/baseline/variables.ts and src/model/policies/policySettings.ts,Updated from ABS population release,Projection path and policy-target definition remain unresolved
baseline.demography.naturalIncrease,Natural increase,Observed baseline data,"111,500","111,500","111,500",people/year,Year ending 31 December 2025,SRC-ABS-POP-2025Q4,High,High,src/model/data/baseline/variables.ts,Updated from ABS population release,Age-specific births/deaths not yet modelled
baseline.migration.arrivals,Migrant arrivals,Observed baseline data,"568,000","568,000","568,000",people/year,2024-25 financial year,SRC-ABS-OM-2024-25,High,High,src/model/data/baseline/variables.ts,Added composition marker,Not yet used to calculate visa-category pathways
baseline.migration.departures,Migrant departures,Observed baseline data,"263,000","263,000","263,000",people/year,2024-25 financial year,SRC-ABS-OM-2024-25,High,Medium,src/model/data/baseline/variables.ts,Added composition marker,Return migration still formulaic in model
baseline.migration.temporaryStudents,Temporary student migrant arrivals,Observed baseline data,"157,000","157,000","157,000",people/year,2024-25 financial year,SRC-ABS-OM-2024-25,High,High,src/model/data/baseline/variables.ts,Added student flow marker,Student service use/housing demand not separately calibrated
baseline.labour.employmentToPopulationRatio,Employment-to-population ratio,Observed baseline data,63.8,63.8,63.8,percent,May 2026,SRC-ABS-LF-2026M05,High,High,src/model/data/baseline/variables.ts,Added labour-market context,Employment stock and migrant-specific employment not yet modelled
baseline.labour.unemploymentRate,Unemployment rate,Observed baseline data,4.4,4.4,4.4,percent,May 2026,SRC-ABS-LF-2026M05,High,High,src/model/data/baseline/variables.ts,Added labour-market context,No unemployment output in current engine
baseline.economy.gdpQuarterlyGrowth,GDP quarterly growth,Observed baseline data,0.3,0.3,0.3,percent/quarter,March quarter 2026,SRC-ABS-NA-2026Q1,High,High,src/model/data/baseline/variables.ts,Added GDP context,GDP/GDP per person not directly modelled
baseline.prices.cpiAnnualInflation,Consumer price inflation,Observed baseline data,4.0,4.0,4.0,percent/year,12 months to May 2026,SRC-ABS-CPI-2026M05,High,Medium,src/model/data/baseline/variables.ts,Added inflation context,Inflation pathway remains event/scenario based
baseline.housing.completionsQuarterly,Dwellings completed,Observed baseline data,"43,816","43,816","43,816",dwellings/quarter,March quarter 2026,SRC-ABS-BLD-2026Q1,High,High,src/model/data/baseline/variables.ts,Updated from ABS Building Activity,None for quarter; annualisation is separate assumption
baseline.housing.completionsAnnualised,Dwellings completed annualised,Transformed observed baseline,"175,264","170,000","190,000",dwellings/year,March quarter 2026 annualised,SRC-ABS-BLD-2026Q1,Moderate,High,src/model/data/baseline/variables.ts,Used as current-path housing build-rate setting,Quarterly volatility; should be replaced by projection path
baseline.fiscal.commonwealthRevenue,Commonwealth total revenue estimate,Government forecast,"815,328","773,081","836,287",AUD millions/year,2026-27 estimate,SRC-TREASURY-BP1-2026-27,Moderate,High,src/model/data/baseline/variables.ts,Added fiscal context,General model still uses abstract fiscal units
baseline.fiscal.commonwealthExpenses,Commonwealth total expenses estimate,Government forecast,"833,262","812,063","863,659",AUD millions/year,2026-27 estimate,SRC-TREASURY-BP1-2026-27,Moderate,High,src/model/data/baseline/variables.ts,Added fiscal context,General model still uses abstract fiscal units
assumption.immigration.averageTaxPerWorker,Average tax per worker,Behavioural relationship,"28,000","22,000","36,000",AUD/worker/year,Migrated model assumption,Phase 1A audit plus Treasury context,Low,High,src/model/assumptions/behaviouralAssumptions.ts,Added sensitivity range,Needs ATO/Treasury/PBO review and segmentation by income/status
assumption.immigration.governmentSpendingPerPerson,Government spending per person,Behavioural relationship,"23,000","18,000","32,000",AUD/person/year,Migrated model assumption,Phase 1A audit plus fiscal context,Low,High,src/model/assumptions/behaviouralAssumptions.ts,Added sensitivity range,Needs age/status/service segmentation
assumption.immigration.socialCohesionSensitivity,Social cohesion sensitivity,Exploratory relationship,45,25,70,0-100 index,Migrated model assumption,Phase 1A audit,Exploratory,High,src/model/assumptions/behaviouralAssumptions.ts,Added explicit range and warning,Requires expert review; do not infer precise causal effects
assumption.immigration.environmentalPressurePerPerson,Environmental pressure per person,Exploratory relationship,1,0.6,1.5,index,Migrated model assumption,DCCEEW/AEMO sources identified,Exploratory,Medium,src/model/assumptions/behaviouralAssumptions.ts,Added explicit range and warning,Needs emissions/energy/water/land-use submodel
