id,plain_language_name,current_coded_value,unit,location,affected_outputs,changes_through_time,user_controlled,existing_source_or_explanation,classification,confidence_rating,materiality_rating,initial_recommendation
A-GEN-001,General simulator starting population,"27,000,000",people,"src/simulation/World.ts:99; src/simulation/outcomeModel.ts:51","population; housing demand; environmental pressure; growth narrative",Initial value then grows by immigration-rate rule,No,"Rounded illustrative baseline; no source in code",Observed baseline data,Low,High,"Replace with dated ABS ERP value and metadata before describing as current."
A-GEN-002,People per immigration-rate percentage point,"100,000",people per percentage-point input,"src/simulation/World.ts:100; src/simulation/outcomeModel.ts:52","population increase; housing demand; economic growth; service pressure",Constant each time step,Indirectly,"No source in code",Behavioural relationship,Low,High,"Clarify immigration-rate unit or replace with explicit NOM/person input."
A-GEN-003,Average household size,2.5,people per household,"src/simulation/World.ts:101; src/simulation/outcomeModel.ts:53",housing demand and housing stress,Constant,No,"No source in code",Observed baseline data,Low,High,"Source from ABS household statistics; reconcile with immigration model value 2.52."
A-GEN-004,Base economic growth,2,percent-like growth units,"src/simulation/World.ts:102; src/simulation/outcomeModel.ts:54","economic growth; revenue; wellbeing; success score",Constant base in each run,No,"No source in code",Observed baseline data,Low,High,"Replace or document using ABS national accounts/RBA/Treasury distinction between observed and forecast."
A-GEN-005,Default immigration rate,2,annual population growth input,src/simulation/presets.ts:11,"population; growth; housing; services",Constant unless user/scenario changes,Yes,"No source in code",Policy setting,Low,High,"Define whether this means NOM share, annual growth or abstract index."
A-GEN-006,Default housing build rate,"175,000",homes/year,src/simulation/presets.ts:12,"housing gap; housing stress; wellbeing; fairness",Constant unless user/scenario changes,Yes,"No source in code",Policy setting,Low,High,"Compare with ABS Building Activity completions and NHSA supply forecasts."
A-GEN-007,Default integration effectiveness,65,0-100 capacity score,src/simulation/presets.ts:13,"cohesion; household outcomes; service pressure; growth",Constant unless user/scenario changes,Yes,"No source in code",Exploratory or unsupported assumption,Low,High,"Treat as exploratory until linked to settlement/service evidence."
A-GEN-008,Default skills alignment,70,0-100 match score,src/simulation/presets.ts:14,"productivity; growth; hiring; tax revenue",Constant unless user/scenario changes,Yes,"No source in code",Exploratory or unsupported assumption,Low,High,"Source or keep explicitly illustrative; consider occupation/skills data."
A-GEN-009,Default infrastructure readiness,60,0-100 capacity score,src/simulation/presets.ts:15,"housing stress; service capacity; fiscal pressure",Constant unless user/scenario changes,Yes,"No source in code",Exploratory or unsupported assumption,Low,High,"Define against Infrastructure Australia/state capacity indicators or retain as scenario knob."
A-GEN-010,Default tax rate,25,percent/income index,src/simulation/presets.ts:16,"government revenue; household consumption; company profitability",Constant unless user/scenario changes,Yes,"No source in code",Policy setting,Low,High,"Define effective tax measure and tax base; currently abstract."
A-GEN-011,Default stimulus rate,2,extra spending index,src/simulation/presets.ts:17,"growth; government spending; environmental pressure",Constant unless user/scenario changes,Yes,"No source in code",Policy setting,Low,Medium,"Clarify unit and whether it represents fiscal impulse or spending index."
A-GEN-012,Housing-first preset build rate,"300,000",homes/year,src/simulation/presets.ts:33,"housing stress; construction; infrastructure; wellbeing",Scenario constant,Yes via preset,"Preset description only",Policy setting,Low,Medium,"Document as policy scenario not observed baseline; test feasibility."
A-GEN-013,High-migration preset immigration rate,4,annual population growth input,src/simulation/presets.ts:46,"population; growth; housing; services",Scenario constant,Yes via preset,"Preset description only",Policy setting,Low,High,"Define as policy scenario and map to NOM/person equivalents."
A-GEN-014,Fiscal-repair preset tax rate,32,percent/income index,src/simulation/presets.ts:65,"government finances; growth; households",Scenario constant,Yes via preset,"Preset description only",Policy setting,Low,Medium,"Document as scenario setting; do not present as actual tax policy."
A-GEN-015,Government base revenue,600,simplified balance units,src/simulation/entities.ts:85,"government balance; finance rating; score",Initial value then recalculated,No,"No source in code",Observed baseline data,Low,High,"Replace with fiscal data or relabel as abstract index."
A-GEN-016,Government base spending,620,simplified balance units,src/simulation/entities.ts:86,"government balance; finance rating; score",Initial value then recalculated,No,"No source in code",Observed baseline data,Low,High,"Replace with fiscal data or relabel as abstract index."
A-GEN-017,Low-income renter household weight,0.24,representative population weight,src/simulation/entities.ts:90,"fairness; wellbeing; entity dashboard",Initial value then entity updates,No,"No source in code",Observed baseline data,Low,High,"Source from ABS income/tenure distribution or label as illustrative archetype."
A-GEN-018,Low-income renter income,"58,000",AUD/year household income,src/simulation/entities.ts:90,"consumption; fairness; wellbeing",Initial entity value,No,"No source in code",Observed baseline data,Low,High,"Source from ABS income distribution and equivalised income data."
A-GEN-019,Middle-income mortgage holder weight/income,"0.32; 126,000",weight and AUD/year,src/simulation/entities.ts:91,"wellbeing; fairness; entity dashboard",Initial entity value,No,"No source in code",Observed baseline data,Low,High,"Source from ABS household income/tenure statistics."
A-GEN-020,High-income investor weight/income,"0.12; 260,000",weight and AUD/year,src/simulation/entities.ts:92,"fairness; tax/entity impacts",Initial entity value,No,"No source in code",Observed baseline data,Low,Medium,"Source or retain as illustrative archetype."
A-GEN-021,Retiree household weight/income,"0.18; 72,000",weight and AUD/year,src/simulation/entities.ts:93,"ageing/service narrative; wellbeing",Initial entity value,No,"No source in code",Observed baseline data,Low,Medium,"Source from ABS/AIHW retirement income and household distribution."
A-GEN-022,Young worker household weight/income,"0.14; 88,000",weight and AUD/year,src/simulation/entities.ts:94,"fairness; housing stress; wellbeing",Initial entity value,No,"No source in code",Observed baseline data,Low,High,"Source from ABS age/income/tenure data."
A-GEN-023,Representative company weights and indices,"weights 0.13-0.28; indices 44-82",0-100 indices and weights,src/simulation/entities.ts:98-105,"growth; hiring; environment; entity impacts",Initial entity values then update,No,"No source in code",Exploratory or unsupported assumption,Low,High,"Needs industry evidence or explicit illustrative-index warning."
A-GEN-024,Initial environmental pressure/resource use,"pressure 36; resourceUse 45",0-100 index,src/simulation/entities.ts:139-140,"environmental pressure; score; climate feedback",Initial value then update,No,"No source in code",Exploratory or unsupported assumption,Low,High,"Split into emissions/resource/water indicators or retain low-confidence exploratory."
A-GEN-025,Household wellbeing formula,"housingSecurity + consumption + cohesion / 3",index average,src/simulation/entities.ts:160,"household wellbeing; fairness; overall score",Recalculated when entity created/updated,No,"No source in code",Behavioural relationship,Low,High,"Document as value judgement or calibrate against wellbeing literature."
A-GEN-026,Household consumption weights,"0.35 housing; 0.35 security; 0.3 cohesion",index weights,src/simulation/entities.ts:227,"wellbeing; fairness",Dynamic formula,No,"No source in code",Scoring or weighting assumption,Low,High,"Make transparent; sensitivity-test score weights."
A-GEN-027,Government tax revenue boost coefficient,6,simplified revenue units per tax-rate point,src/simulation/entities.ts:278,"revenue; budget balance; fiscal score",Dynamic formula,Indirectly,"No source in code",Behavioural relationship,Low,High,"Replace with fiscal model or document as abstract coefficient."
A-GEN-028,Growth revenue boost coefficient,20,revenue units per growth point,src/simulation/entities.ts:279,"revenue; budget balance",Dynamic formula,No,"No source in code",Behavioural relationship,Low,High,"Source or calibrate during back-test."
A-GEN-029,Stimulus spending coefficient,15,spending units per stimulus point,src/simulation/entities.ts:282,"government spending; balance",Dynamic formula,Indirectly,"No source in code",Behavioural relationship,Low,High,"Define fiscal units and spending baseline."
