id,organisation,dataset_or_publication,relevant_measure,reference_period,publication_date,date_accessed,expected_update_frequency,direct_source_location,definitional_limitations
SRC-ABS-POP-2025Q4,Australian Bureau of Statistics,"National, state and territory population, December 2025","Estimated resident population; annual growth; natural increase; net overseas migration",31 December 2025,2026-06-18,2026-07-12,Quarterly,https://www.abs.gov.au/statistics/people/population/national-state-and-territory-population/latest-release,"ERP and components are revised over time; stock date differs from financial-year overseas migration release."
SRC-ABS-OM-2024-25,Australian Bureau of Statistics,"Overseas Migration, 2024-25 financial year","Migrant arrivals; migrant departures; temporary student migrant arrivals; NOM comparison",2024-25 financial year,2025-12-19,2026-07-12,Annual,https://www.abs.gov.au/statistics/people/population/overseas-migration/latest-release,"NOM residence concept differs from visa grants, visa stocks and administrative intake categories."
SRC-ABS-LF-2026M05,Australian Bureau of Statistics,"Labour Force, Australia, May 2026","Employment-to-population ratio; unemployment rate; employment and unemployment counts",May 2026,2026-06-25,2026-07-12,Monthly,https://www.abs.gov.au/statistics/labour/employment-and-unemployment/labour-force-australia/latest-release,"Seasonally adjusted, trend and original series must not be mixed; total labour market values are not migrant-specific rates."
SRC-ABS-NA-2026Q1,Australian Bureau of Statistics,"Australian National Accounts: National Income, Expenditure and Product, March 2026","GDP quarterly growth and national accounts context",March quarter 2026,2026-06-03,2026-07-12,Quarterly,https://www.abs.gov.au/statistics/economy/national-accounts/australian-national-accounts-national-income-expenditure-and-product/latest-release,"GDP and GDP per person are not yet directly modelled; chain-volume/current-price measures require separate treatment."
SRC-ABS-CPI-2026M05,Australian Bureau of Statistics,"Consumer Price Index, Australia, May 2026","Annual CPI inflation and monthly price context",May 2026,2026-06-24,2026-07-12,Monthly/quarterly,https://www.abs.gov.au/statistics/economy/price-indexes-and-inflation/consumer-price-index-australia/latest-release,"Monthly CPI indicator is not the full quarterly CPI basket and should not be frozen indefinitely."
SRC-ABS-BLD-2026Q1,Australian Bureau of Statistics,"Building Activity, Australia, March 2026","Dwellings completed; dwellings under construction",March quarter 2026,2026-07-08,2026-07-12,Quarterly,https://www.abs.gov.au/statistics/industry/building-and-construction/building-activity-australia/latest-release,"Quarterly completions are volatile; annualising one quarter is a current-path approximation, not a forecast."
SRC-TREASURY-BP1-2026-27,Australian Treasury,"Budget 2026-27, Budget Paper No. 1","Commonwealth revenue and total expenses estimates",2026-27 estimate,2026-05-12,2026-07-12,Annual with updates,https://budget.gov.au/content/bp1/index.htm,"Budget values are government forecast estimates, not observed outturns; Commonwealth only."
SRC-DCCEEW-NGGI-2025Q4,Department of Climate Change Energy the Environment and Water,"National Greenhouse Gas Inventory Quarterly Update: December 2025","Emissions source registry marker",December 2025,2026,2026-07-12,Quarterly,https://www.dcceew.gov.au/climate-change/publications/national-greenhouse-gas-inventory-quarterly-update-december-2025,"Numeric emissions pathway is not yet integrated; environmental pressure remains exploratory."
SRC-IA-INFRA,Infrastructure Australia,"Infrastructure Audit / Market Capacity reports","Infrastructure capacity/cost relationship candidates",Latest relevant report,Varies,2026-07-12,Periodic,https://www.infrastructureaustralia.gov.au/,"Useful for relationships and ranges; costs vary by asset class and location."
SRC-AIHW-SERVICES,Australian Institute of Health and Welfare,"Health expenditure / health workforce / aged care reports","Health demand, expenditure and service-capacity relationship candidates",Latest relevant report,Varies,2026-07-12,Annual/periodic,https://www.aihw.gov.au/,"Health and aged-care demand must be segmented by age/status before calibration."
